BU,Subcategory,Category,Emissions (tCO2e)
BU1,CGK - PKU,Business Travel,13.34371232
BU1,PKU - CGK,Business Travel,9.690964253
BU1,PKU - YIA,Business Travel,0.8528689798
BU1,PKU - HLP,Business Travel,0.3843521389
BU1,SMQ - PKU,Business Travel,0.3183830439
BU1,PKU - PGK,Business Travel,0.143801405
BU1,TJQ - PKU,Business Travel,0.06308344803
BU1,PKU - PLM,Business Travel,0.04160140982
BU2,PKU - PKN,Business Travel,1.05013501
BU2,PKY - PKU,Business Travel,1.025847481
BU2,SRG - PKU,Business Travel,0.4129681376
BU2,YIA - PKU,Business Travel,0.2132172449
BU2,PKU - DJB,Business Travel,0.1733848784
BU2,PKU - KNO,Business Travel,0.1165331601
BU2,PKU - SRG,Business Travel,0.1032420344
BU2,DJB - PKU,Business Travel,0.04334621959
BU3,PKU - PKY,Business Travel,0.683898321
BU3,PKU - KTG,Business Travel,0.4718032721
BU3,PKU - DJJ,Business Travel,0.4416972258
BU3,PKU - BDJ,Business Travel,0.1236820334
BU3,SUB - PKU,Business Travel,0.1225598374
BU3,PKU - TKG,Business Travel,0.06051842855
BU3,PLM - PKU,Business Travel,0.04160140982
BU10,Cocoa Powder,Purchased Goods,239822.583908
BU10,Cocoa Beans,Purchased Goods,80743.09094299999
BU10,Cocoa Butter,Purchased Goods,66664.618812
BU10,Almond Whole,Purchased Goods,7363.849158000001
BU10,Cashew Nuts Whole,Purchased Goods,4131.432518
BU11,Coffee Bean,Purchased Goods,485958.1826
BU11,Instant Coffee,Purchased Goods,95402.5215
BU11,Liquid Coffee,Purchased Goods,16647.3688
BU4,Sesame,Purchased Goods,312897.8592
BU4,Dehydrated Onion,Purchased Goods,2366.567298
BU4,Pepper,Purchased Goods,195.890358
BU5,Sesame,Transport,3343.29413195
BU5,Dehydrated Onion,Transport,98.748670095
BU5,Pepper,Transport,3.451866868
BU6,Cocoa Powder,Transport,464.61130898700003
BU6,Cocoa Mass,Transport,242.90353350600003
BU6,Cocoa Beans,Transport,220.65569942350004
BU6,Cocoa Butter,Transport,79.69915412600001
BU6,Cocoa Preparation,Transport,78.3098557225
BU6,Almond Whole,Transport,13.4167753395
BU6,Almond Ingredient,Transport,11.381315988
BU6,Cashew Nuts Whole,Transport,11.10842564
BU7,Coffee Bean,Transport,2740.66833315
BU7,Liquid Coffee,Transport,498.6750760000001
BU7,Instant Coffee,Transport,63.48352735
BU1,Coffee Bean,Warehousing,282.855
BU1,Liquid Coffee,Warehousing,102.23999999999998
BU1,Instant Coffee,Warehousing,22.0575
BU2,Cocoa Powder,Warehousing,7.145855999999999
BU2,Almond Ingredient,Warehousing,3.9931315200000004
BU2,Cocoa Beans,Warehousing,3.9194999999999998
BU2,Cocoa Mass,Warehousing,2.69586
BU2,Cocoa Preparation,Warehousing,2.4552
BU2,Cashew Nuts Whole,Warehousing,2.01753768
BU2,Almond Whole,Warehousing,1.619352
BU3,Sesame,Warehousing,30.8583
BU1,Sesame,Waste,238447.26675
BU2,Cocoa powder,Waste,65849.28
BU3,Onion,Waste,100500.0
