Subcategory,Category,Emissions (tCO2e)
Coffee Bean,Purchased Goods,485958.1826
Sesame,Purchased Goods,312897.8592
Cocoa Powder,Purchased Goods,239822.583908
Sesame,Waste,238447.26675
Onion,Waste,100500.0
Instant Coffee,Purchased Goods,95402.5215
Cocoa Beans,Purchased Goods,80743.09094299999
Cocoa Butter,Purchased Goods,66664.618812
Cocoa powder,Waste,65849.28
Liquid Coffee,Purchased Goods,16647.3688
Almond Whole,Purchased Goods,7363.849158000001
Cashew Nuts Whole,Purchased Goods,4131.432518
Sesame,Transport,3343.29413195
Coffee Bean,Transport,2740.66833315
Dehydrated Onion,Purchased Goods,2366.567298
Liquid Coffee,Transport,498.6750760000001
Cocoa Powder,Transport,464.61130898700003
Coffee Bean,Warehousing,282.855
Cocoa Mass,Transport,242.90353350600003
Cocoa Beans,Transport,220.65569942350004
Pepper,Purchased Goods,195.890358
Liquid Coffee,Warehousing,102.23999999999998
Dehydrated Onion,Transport,98.748670095
Cocoa Butter,Transport,79.69915412600001
Cocoa Preparation,Transport,78.3098557225
Instant Coffee,Transport,63.48352735
Sesame,Warehousing,30.8583
Instant Coffee,Warehousing,22.0575
Almond Whole,Transport,13.4167753395
CGK - PKU,Business Travel,13.34371232
Almond Ingredient,Transport,11.381315988
Cashew Nuts Whole,Transport,11.10842564
PKU - CGK,Business Travel,9.690964253
Cocoa Powder,Warehousing,7.145855999999999
Almond Ingredient,Warehousing,3.9931315200000004
Cocoa Beans,Warehousing,3.9194999999999998
Pepper,Transport,3.451866868
Cocoa Mass,Warehousing,2.69586
Cocoa Preparation,Warehousing,2.4552
Cashew Nuts Whole,Warehousing,2.01753768
Almond Whole,Warehousing,1.619352
PKU - PKN,Business Travel,1.05013501
PKY - PKU,Business Travel,1.025847481
PKU - YIA,Business Travel,0.8528689798
PKU - PKY,Business Travel,0.683898321
PKU - KTG,Business Travel,0.4718032721
PKU - DJJ,Business Travel,0.4416972258
SRG - PKU,Business Travel,0.4129681376
PKU - HLP,Business Travel,0.3843521389
SMQ - PKU,Business Travel,0.3183830439
YIA - PKU,Business Travel,0.2132172449
PKU - DJB,Business Travel,0.1733848784
PKU - PGK,Business Travel,0.143801405
PKU - BDJ,Business Travel,0.1236820334
SUB - PKU,Business Travel,0.1225598374
PKU - KNO,Business Travel,0.1165331601
PKU - SRG,Business Travel,0.1032420344
TJQ - PKU,Business Travel,0.06308344803
PKU - TKG,Business Travel,0.06051842855
DJB - PKU,Business Travel,0.04334621959
PLM - PKU,Business Travel,0.04160140982
PKU - PLM,Business Travel,0.04160140982
