Scope,Business Unit,Category,Emissions(tCO2e)
Scope 1,BU1,Biodiesel,1.105566
Scope 1,BU10,Natural Gas,4496.805033534779
Scope 1,BU10,Biodiesel,1.440586
Scope 1,BU11,Biodiesel,0.36182159999999997
Scope 1,BU2,Fertilizer,9381.3763896
Scope 1,BU2,Biodiesel,2.6835101999999997
Scope 1,BU3,Biodiesel,1675103.8125276
Scope 1,BU3,Fertilizer,17792.80981767
Scope 1,BU4,Biodiesel,3.9163837999999997
Scope 1,BU5,Fertilizer,3019.15335
Scope 1,BU5,Biodiesel,2.763915
Scope 1,BU6,Fertilizer,1969.62609
Scope 1,BU6,Biodiesel,1.959867
Scope 1,BU7,Natural Gas,1912.1449276373728
Scope 1,BU7,Biodiesel,2.8677712
Scope 1,BU8,Natural Gas,1862.4368152150744
Scope 1,BU8,Biodiesel,1.9196646
Scope 1,BU9,Biodiesel,11.373929
