Business Unit,Category,Emissions(tCO2e)
BU1,Biodiesel,1.105566
BU10,Natural Gas,4496.805033534779
BU10,Biodiesel,1.440586
BU11,Biodiesel,0.36182159999999997
BU2,Fertilizer,9381.3763896
BU2,Biodiesel,2.6835101999999997
BU3,Biodiesel,1675103.8125276
BU3,Fertilizer,17792.80981767
BU4,Biodiesel,3.9163837999999997
BU5,Fertilizer,3019.15335
BU5,Biodiesel,2.763915
BU6,Fertilizer,1969.62609
BU6,Biodiesel,1.959867
BU7,Natural Gas,1912.1449276373728
BU7,Biodiesel,2.8677712
BU8,Natural Gas,1862.4368152150744
BU8,Biodiesel,1.9196646
BU9,Biodiesel,11.373929
